"Company","booking_date","amount","balance","tags"
"1","17/9/2019 00:00:00+00","21779.28","1406568.9","[revenue, sales]"
"1","17/9/2019 00:00:00+00","14126.71","1420695.61","[revenue, sales]"
"1","17/9/2019 00:00:00+00","-75","1420620.61","[expenditure]"
"1","17/9/2019 00:00:00+00","-19.22","1420601.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200986.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200967.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200948.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200929.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200910.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-4","2200906.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200887.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420582.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200868.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200849.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200830.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420563.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420544.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420525.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420506.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420487.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","1420468.39","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200811.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200792.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200773.83","[expenditure]"
"1","17/9/2019 00:00:00+00","-30.01","2200743.82","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200724.82","[expenditure]"
"1","17/9/2019 00:00:00+00","-19","2200705.82","[expenditure]"
"1","17/9/2019 00:00:00+00","-10","2200695.82","[expenditure, material-supply]"
"1","17/9/2019 00:00:00+00","-10","2200685.82","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-0.26","2200685.56","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-0.3","2200685.26","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-1440","2199245.26","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-6548.89","2192696.37","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-9102.62","2183593.75","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-0.13","2183593.62","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-2125.14","2181468.48","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-1735","2179733.48","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-1431","2178302.48","[expenditure, material-supply]"
"1","18/9/2019 00:00:00+00","-24.7","2178277.78","[expenditure]"
"1","18/9/2019 00:00:00+00","-2946.02","2175331.76","[expenditure]"
"1","18/9/2019 00:00:00+00","-3.55","2175328.21","[expenditure]"
"1","18/9/2019 00:00:00+00","4799.23","2180127.44","[revenue, sales]"
"1","18/9/2019 00:00:00+00","7310","2187437.44","[revenue]"
"1","18/9/2019 00:00:00+00","60","2187497.44","[revenue]"
"1","18/9/2019 00:00:00+00","3730","2191227.44","[revenue, sales]"
"1","18/9/2019 00:00:00+00","100","2191327.44","[revenue]"
"1","18/9/2019 00:00:00+00","147.5","1420615.89","[revenue]"
"1","18/9/2019 00:00:00+00","100","1420715.89","[revenue]"
"1","18/9/2019 00:00:00+00","1969.6","1422685.49","[revenue, sales]"
"1","18/9/2019 00:00:00+00","3.55","1422689.04","[revenue, sales]"
"1","18/9/2019 00:00:00+00","27763.87","1450452.91","[revenue, chargeback, sales]"
"1","18/9/2019 00:00:00+00","-4","1450448.91","[expenditure, credit-card]"
"1","18/9/2019 00:00:00+00","-19","2191308.44","[expenditure]"
"1","18/9/2019 00:00:00+00","-19","2191289.44","[expenditure]"
"1","18/9/2019 00:00:00+00","-19","2191270.44","[expenditure]"
"1","18/9/2019 00:00:00+00","-19","2191251.44","[expenditure]"
"1","18/9/2019 00:00:00+00","-19","2191232.44","[expenditure]"
"1","19/9/2019 00:00:00+00","-660","2190572.44","[expenditure]"
"1","19/9/2019 00:00:00+00","-937.46","2189634.98","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-887","2188747.98","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-1748.4","2186999.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-2548","2184451.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-1452","2182999.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-30","2182969.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-3259.18","2179710.4","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-277.6","2179432.8","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-255.85","2179176.95","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-165.41","2179011.54","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-255.85","2178755.69","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-255.85","2178499.84","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-1368.5","2177131.34","[expenditure, law, tax, material-supply]"
"1","19/9/2019 00:00:00+00","-345.15","2176786.19","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-4782.61","2172003.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-349.75","2171653.83","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-148.75","2171505.08","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-712.5","2170792.58","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-59.43","2170733.15","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","5489.97","2176223.12","[revenue]"
"1","19/9/2019 00:00:00+00","3730","2179953.12","[revenue]"
"1","19/9/2019 00:00:00+00","5137.08","2185090.2","[revenue, sales]"
"1","19/9/2019 00:00:00+00","8900","2193990.2","[revenue, sales]"
"1","19/9/2019 00:00:00+00","4000","2197990.2","[revenue, sales]"
"1","19/9/2019 00:00:00+00","30","1450478.91","[revenue]"
"1","19/9/2019 00:00:00+00","14125.12","1464604.03","[revenue, sales]"
"1","19/9/2019 00:00:00+00","-545","1464059.03","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-19","1464040.03","[expenditure]"
"1","19/9/2019 00:00:00+00","-19","1464021.03","[expenditure]"
"1","19/9/2019 00:00:00+00","-28.23","2197961.97","[expenditure]"
"1","19/9/2019 00:00:00+00","-19","2197942.97","[expenditure]"
"1","19/9/2019 00:00:00+00","-27.61","2197915.36","[expenditure]"
"1","19/9/2019 00:00:00+00","-34.99","1463986.04","[expenditure, material-supply]"
"1","19/9/2019 00:00:00+00","-4","1463982.04","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-7370","1456612.04","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-4000","1452612.04","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-7950","1444662.04","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-5820","1438842.04","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-1666.89","1437175.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-3140","1434035.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-250","1433785.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-5005","1428780.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-6270","1422510.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-8370","1414140.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-7350","1406790.15","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-1690","1405100.15","[expenditure]"
"1","20/9/2019 00:00:00+00","-27763.87","1377336.28","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","1800","1379136.28","[revenue]"
"1","20/9/2019 00:00:00+00","10100","1389236.28","[revenue, sales]"
"1","20/9/2019 00:00:00+00","2140","1391376.28","[revenue]"
"1","20/9/2019 00:00:00+00","14758.88","1406135.16","[revenue, sales]"
"1","20/9/2019 00:00:00+00","-4","1406131.16","[expenditure]"
"1","20/9/2019 00:00:00+00","-56.69","1406074.47","[expenditure]"
"1","20/9/2019 00:00:00+00","-28.38","2197886.98","[expenditure]"
"1","20/9/2019 00:00:00+00","-4","2197882.98","[expenditure, credit-card]"
"1","20/9/2019 00:00:00+00","-29.06","2197853.92","[expenditure]"
"1","20/9/2019 00:00:00+00","-30.35","2197823.57","[expenditure]"
"1","20/9/2019 00:00:00+00","-28.1","2197795.47","[expenditure]"
"1","20/9/2019 00:00:00+00","-19","2197776.47","[expenditure]"
"1","20/9/2019 00:00:00+00","-460.72","2197315.75","[expenditure, material-supply]"
"1","20/9/2019 00:00:00+00","-95.2","2197220.55","[expenditure, credit, material-supply]"
"1","20/9/2019 00:00:00+00","-1658.23","1404416.24","[expenditure]"
"1","23/9/2019 00:00:00+00","2960","2200180.55","[revenue, sales]"
"1","23/9/2019 00:00:00+00","1482.97","2201663.52","[revenue, sales]"
"1","23/9/2019 00:00:00+00","3690","2205353.52","[revenue, sales]"
"1","23/9/2019 00:00:00+00","5825.26","2211178.78","[revenue, sales]"
"1","23/9/2019 00:00:00+00","3244.79","2214423.57","[revenue, sales]"
"1","23/9/2019 00:00:00+00","2355.3","2216778.87","[revenue, sales]"
"1","23/9/2019 00:00:00+00","3877.04","2220655.91","[revenue, sales]"
"1","23/9/2019 00:00:00+00","1220","2221875.91","[revenue]"
"1","23/9/2019 00:00:00+00","4500","2226375.91","[revenue]"
"1","23/9/2019 00:00:00+00","110.84","2226486.75","[revenue, sales]"
"1","23/9/2019 00:00:00+00","618.7","2227105.45","[revenue, chargeback, sales]"
"1","23/9/2019 00:00:00+00","-4","2227101.45","[expenditure, credit-card]"
"1","23/9/2019 00:00:00+00","-38.08","2227063.37","[expenditure, material-supply, cash]"
"1","23/9/2019 00:00:00+00","-116.52","2226946.85","[expenditure]"
"1","23/9/2019 00:00:00+00","-320","2226626.85","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-10","2226616.85","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-10","2226606.85","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-10","2226596.85","[expenditure, administration, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-10","2226586.85","[expenditure, administration, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-75","2226511.85","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-87.5","2226424.35","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-40","2226384.35","[expenditure, credit, material-supply]"
"1","23/9/2019 00:00:00+00","-120","2226264.35","[expenditure, credit, material-supply]"
"1","24/9/2019 00:00:00+00","-2269.12","2223995.23","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-178.5","2223816.73","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-178.5","2223638.23","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-451.32","2223186.91","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-4046","1400370.24","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-678.3","1399691.94","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-892.7","1398799.24","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-236.81","1398562.43","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-236.81","1398325.62","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-252.28","1398073.34","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-61.88","1398011.46","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-60.69","1397950.77","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-60.69","1397890.08","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-31.34","2223155.57","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-737.06","1397153.02","[expenditure, transport, material-supply]"
"1","24/9/2019 00:00:00+00","-562.5","2222593.07","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-550","2222043.07","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-124.78","2221918.29","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-142.8","2221775.49","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-24570","2197205.49","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-40.46","2197165.03","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-3082.17","2194082.86","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-3720","2190362.86","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-1513","2188849.86","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-1775.91","2187073.95","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-1149.59","2185924.36","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-2736.5","2183187.86","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-20500","2162687.86","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-2829.9","2159857.96","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-1729.57","2158128.39","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-1920","2156208.39","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-7939","2148269.39","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-3127.56","2145141.83","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-3622","2141519.83","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-0.36","2141519.47","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-82832.62","2058686.85","[expenditure]"
"1","24/9/2019 00:00:00+00","-156071.68","1902615.17","[expenditure]"
"1","24/9/2019 00:00:00+00","-42772.88","1859842.29","[expenditure, tax, salary-extra-costs, salary, material-supply]"
"1","24/9/2019 00:00:00+00","11714.8","1871557.09","[revenue]"
"1","24/9/2019 00:00:00+00","13800","1885357.09","[revenue]"
"1","24/9/2019 00:00:00+00","3030","1888387.09","[revenue, sales]"
"1","24/9/2019 00:00:00+00","2904.77","1891291.86","[revenue, sales]"
"1","24/9/2019 00:00:00+00","202.76","1891494.62","[revenue, sales]"
"1","24/9/2019 00:00:00+00","8614.07","1900108.69","[revenue, sales]"
"1","24/9/2019 00:00:00+00","750","1900858.69","[revenue, sales]"
"1","24/9/2019 00:00:00+00","1666.89","1902525.58","[revenue, chargeback, sales]"
"1","24/9/2019 00:00:00+00","-20.65","1902504.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902485.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902466.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902447.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1397134.02","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1397115.02","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1397096.02","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1397077.02","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902428.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902409.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902390.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902371.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902352.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902333.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902314.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902295.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902276.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902257.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902238.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-19","1902219.93","[expenditure]"
"1","24/9/2019 00:00:00+00","-346.84","1901873.09","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-486.93","1901386.16","[expenditure, material-supply]"
"1","24/9/2019 00:00:00+00","-24.44","1901361.72","[expenditure]"
"1","24/9/2019 00:00:00+00","-1426.5","1899935.22","[expenditure]"
"1","25/9/2019 00:00:00+00","-2788.42","1897146.8","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-2177.5","1894969.3","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-5400","1889569.3","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-75","1889494.3","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-2886.63","1886607.67","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-8770","1877837.67","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-2707.93","1875129.74","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-7400","1867729.74","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-250","1867479.74","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-18600","1848879.74","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-1753.45","1847126.29","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-3541.26","1843585.03","[expenditure]"
"1","25/9/2019 00:00:00+00","-3230","1840355.03","[expenditure]"
"1","25/9/2019 00:00:00+00","-0.19","1397076.83","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","-0.37","1397076.46","[expenditure, material-supply]"
"1","25/9/2019 00:00:00+00","4990","1402066.46","[revenue, sales]"
"1","25/9/2019 00:00:00+00","2680","1404746.46","[revenue]"
"1","25/9/2019 00:00:00+00","2190","1406936.46","[revenue]"
"1","25/9/2019 00:00:00+00","10240","1417176.46","[revenue, sales]"
"1","25/9/2019 00:00:00+00","100","1840455.03","[revenue, sales]"
"1","25/9/2019 00:00:00+00","5230","1845685.03","[revenue, sales]"
"1","25/9/2019 00:00:00+00","10832.17","1856517.2","[revenue, sales]"
"1","25/9/2019 00:00:00+00","13400","1869917.2","[revenue, sales]"
"1","25/9/2019 00:00:00+00","628.06","1870545.26","[revenue, chargeback, sales]"
"1","26/9/2019 00:00:00+00","-4455","1866090.26","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1157.94","1864932.32","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-8330","1856602.32","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-7490","1849112.32","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1347.91","1847764.41","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1041.9","1846722.51","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-2480.6","1844241.91","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1880.37","1842361.54","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-17064.29","1825297.25","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-0.17","1825297.08","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1590.7","1823706.38","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-3600.85","1820105.53","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-4437.61","1815667.92","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-2726.59","1812941.33","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-2399.78","1810541.55","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-2373.1","1808168.45","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1638.03","1806530.42","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1486.31","1805044.11","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-433.16","1804610.95","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-9787.37","1794823.58","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1088.56","1793735.02","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-4.32","1793730.7","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-98804.57","1694926.13","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-38539.42","1656386.71","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-1374.96","1655011.75","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-178.5","1654833.25","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-61.88","1654771.37","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-229.54","1654541.83","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-115.92","1654425.91","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-23.8","1654402.11","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-294.17","1654107.94","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-8991.29","1645116.65","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-6406.53","1638710.12","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-73440.39","1565269.73","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-24741.22","1540528.51","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-50.28","1540478.23","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-149.94","1540328.29","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-618.88","1539709.41","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-178.5","1539530.91","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-432.57","1539098.34","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-44.66","1539053.68","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","-628.06","1538425.62","[expenditure, material-supply]"
"1","26/9/2019 00:00:00+00","110.81","1538536.43","[revenue]"
"1","26/9/2019 00:00:00+00","60000","1477176.46","[revenue, sales]"
"1","26/9/2019 00:00:00+00","-4.5","1477171.96","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-10600","1466571.96","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-945.97","1465625.99","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-1667.98","1536868.45","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-5700","1531168.45","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-5106.62","1526061.83","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-7250","1518811.83","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-1552.69","1517259.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-5500","1511759.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-5200","1506559.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-1255","1505304.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-7060","1498244.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-2160","1496084.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-3720","1492364.14","[expenditure, material-supply]"
"1","27/9/2019 00:00:00+00","-2320.11","1490044.03","[expenditure]"
